Element,Symbol,Molecular_Weight,Valency
Hydrogen,H,1.008,1
Helium,He,4.0026,0
Lithium,Li,6.94,1
Beryllium,Be,9.0122,2
Boron,B,10.81,3
Carbon,C,12.011,4
Nitrogen,N,14.007,3
Oxygen,O,15.999,2
Fluorine,F,18.998,1
Neon,Ne,20.18,0
Sodium,Na,22.99,1
Magnesium,Mg,24.305,2
Aluminum,Al,26.982,3
Silicon,Si,28.085,4
Phosphorus,P,30.974,5
Sulfur,S,32.06,2
Chlorine,Cl,35.45,1
Argon,Ar,39.948,0
Potassium,K,39.098,1
Calcium,Ca,40.078,2
Scandium,Sc,44.956,3
Titanium,Ti,47.867,4
Vanadium,V,50.942,5
Chromium,Cr,51.996,3
Manganese,Mn,54.938,2
Iron,Fe,55.845,3
Cobalt,Co,58.933,2
Nickel,Ni,58.693,2
Copper,Cu,63.546,2
Zinc,Zn,65.38,2
Gallium,Ga,69.723,3
Germanium,Ge,72.63,4
Arsenic,As,74.922,3
Selenium,Se,78.971,2
Bromine,Br,79.904,1
Krypton,Kr,83.798,0
Rubidium,Rb,85.468,1
Strontium,Sr,87.62,2
Yttrium,Y,88.906,3
Zirconium,Zr,91.224,4
Niobium,Nb,92.906,5
Molybdenum,Mo,95.95,6
Technetium,Tc,98,7
Ruthenium,Ru,101.07,3
Rhodium,Rh,102.91,3
Palladium,Pd,106.42,2
Silver,Ag,107.87,1
Cadmium,Cd,112.41,2
Indium,In,114.82,3
Tin,Sn,118.71,4
Antimony,Sb,121.76,3
Tellurium,Te,127.6,2
Iodine,I,126.9,1
Xenon,Xe,131.29,0
Cesium,Cs,132.91,1
Barium,Ba,137.33,2
Lanthanum,La,138.91,3
Cerium,Ce,140.12,3
Praseodymium,Pr,140.91,3
Neodymium,Nd,144.24,3
Promethium,Pm,145,3
Samarium,Sm,150.36,3
Europium,Eu,151.96,3
Gadolinium,Gd,157.25,3
Terbium,Tb,158.93,3
Dysprosium,Dy,162.5,3
Holmium,Ho,164.93,3
Erbium,Er,167.26,3
Thulium,Tm,168.93,3
Ytterbium,Yb,173.05,3
Lutetium,Lu,174.97,3
Hafnium,Hf,178.49,4
Tantalum,Ta,180.95,5
Tungsten,W,183.84,6
Rhenium,Re,186.21,7
Osmium,Os,190.23,4
Iridium,Ir,192.22,4
Platinum,Pt,195.08,4
Gold,Au,196.97,3
Mercury,Hg,200.59,2
Thallium,Tl,204.38,3
Lead,Pb,207.2,2
Bismuth,Bi,208.98,3
Polonium,Po,209,2
Astatine,At,210,1
Radon,Rn,222,0
Francium,Fr,223,1
Radium,Ra,226,2
Actinium,Ac,227,3
Thorium,Th,232.04,4
Protactinium,Pa,231.04,5
Uranium,U,238.03,6
Neptunium,Np,237,5
Plutonium,Pu,244,4
Americium,Am,243,3
Curium,Cm,247,3
Berkelium,Bk,247,3
Californium,Cf,251,3
Einsteinium,Es,252,3
Fermium,Fm,257,3
Mendelevium,Md,258,3
Nobelium,No,259,2
Lawrencium,Lr,262,3
Rutherfordium,Rf,267,4
Dubnium,Db,270,5
Seaborgium,Sg,271,6
Bohrium,Bh,270,7
Hassium,Hs,277,8
Meitnerium,Mt,276,0
Darmstadtium,Ds,281,0
Roentgenium,Rg,280,0
Copernicium,Cn,285,2
Nihonium,Nh,284,0
Flerovium,Fl,289,0
Moscovium,Mc,288,0
Livermorium,Lv,293,0
Tennessine,Ts,294,0
Oganesson,Og,294,0
